id,name,age,ova,bov,pot,growth,a/w,d/w,value,total_stats,base_stats,composure,stamina,strength,power,reactions
7631,A. Cassano,33,76,78,76,0,Medium,Low,3400000.0,1676,337,84.0,34,60,274,74
7743,L. Donovan,35,73,74,73,0,Medium,Low,1800000.0,1872,387,75.0,46,57,316,68
7763,A. Pirlo,38,77,74,77,0,Low,Low,2200000.0,1741,349,86.0,38,58,268,73
7826,R. van Persie,34,78,78,78,0,Medium,Low,5500000.0,1876,381,85.0,52,67,326,79
8040,D. Rommedahl,34,65,67,65,0,Medium,Low,150000.0,1658,347,61.0,55,46,304,72
8222,G. Heinze,35,74,73,74,0,Medium,Medium,300000.0,1784,351,61.0,51,73,294,72
8473,T. Rosický,36,79,78,79,0,Medium,Medium,4200000.0,1979,410,84.0,68,56,331,77
8517,S. Parker,35,72,72,72,0,Medium,High,350000.0,1969,400,83.0,60,68,343,70
8753,O. Daf,35,64,69,64,0,Medium,Medium,45000.0,1560,329,61.0,33,72,246,64
8842,L. Scaloni,36,65,66,65,0,Medium,Medium,0.0,1756,355,61.0,60,65,311,66
8963,Manuel Pablo,39,67,71,67,0,High,Medium,0.0,1742,361,61.0,34,75,261,78
9014,A. Robben,36,80,81,80,0,Medium,Low,5000000.0,1970,407,86.0,51,66,337,74
9432,Y. Benayoun,33,76,78,76,0,High,Medium,1900000.0,1912,396,61.0,53,51,302,77
9676,S. Eto'o,36,81,79,81,0,High,Low,6500000.0,2019,415,83.0,64,70,380,76
9805,C. Bellamy,33,73,75,73,0,High,High,875000.0,2003,415,61.0,57,62,350,76
10264,R. van Nistelrooy,34,77,76,77,0,Medium,Low,2100000.0,1784,360,61.0,47,77,308,80
10535,Xavi,34,86,85,86,0,Medium,Medium,15500000.0,2104,431,61.0,60,60,312,90
10899,C. Porter,36,63,63,63,0,High,Medium,130000.0,1615,331,61.0,67,83,350,63
11044,T. Dellas,35,72,72,72,0,Low,Medium,210000.0,1566,318,61.0,33,91,295,63
11125,G. Asamoah,33,66,66,66,0,Medium,Low,325000.0,1780,374,61.0,59,86,345,69
11141,M. Klose,37,79,77,79,0,Medium,Low,1300000.0,1770,366,61.0,53,72,342,74
11381,M. Gilks,38,64,64,64,0,Medium,Medium,45000.0,1074,351,48.0,27,54,198,59
12011,C. Lupatelli,36,68,68,68,0,Medium,Medium,450000.0,1145,367,61.0,25,44,170,63
12259,S. Keita,35,76,76,76,0,Medium,High,900000.0,1954,413,61.0,55,77,355,76
12265,O. Hargreaves   B,30,78,77,78,0,Medium,High,3000000.0,2106,437,61.0,68,73,359,82
12445,J. Riise,34,72,76,72,0,High,High,1000000.0,2043,421,61.0,67,82,377,76
12695,A. Friedrich,33,74,73,74,0,Medium,Medium,775000.0,1683,363,61.0,52,76,317,70
13038,Puyol,35,83,82,83,0,Medium,High,1300000.0,1853,390,61.0,54,84,325,81
13130,W. Brown,36,66,65,66,0,Medium,Medium,0.0,1461,295,61.0,30,75,246,50
13732,J. Terry,36,76,75,76,0,Medium,High,1000000.0,1646,338,82.0,50,83,307,73
13739,A. Smith,36,61,61,61,0,Medium,Medium,80000.0,1666,332,66.0,40,65,275,63
13743,S. Gerrard,36,81,79,81,0,Medium,Medium,1400000.0,2154,435,84.0,68,75,386,85
13914,P. Robinson,36,69,68,69,0,Medium,Medium,450000.0,1175,381,64.0,29,70,214,74
14916,J. Ángel,38,68,68,68,0,Medium,Low,100000.0,1653,334,61.0,31,70,293,72
15723,D. Kuyt,35,75,75,75,0,High,High,1500000.0,2041,427,84.0,83,75,384,77
16254,T. Howard,40,71,70,71,0,Medium,Medium,240000.0,1221,399,54.0,26,74,238,66
16897,D. Van Buyten,35,78,77,78,0,Medium,Medium,650000.0,1575,332,61.0,55,94,309,75
18122,N. Penneteau,39,73,73,73,0,Medium,Medium,400000.0,1110,386,56.0,26,63,206,61
19292,J. Collins,34,72,71,72,0,Medium,High,950000.0,1542,314,63.0,33,84,298,63
19521,J. Ibehre,36,58,58,58,0,Medium,Low,45000.0,1502,332,56.0,75,83,328,59
19896,Valerón,40,74,74,74,0,Medium,Low,0.0,1557,309,61.0,26,43,208,80
20172,G. Holt,34,67,67,67,0,High,Medium,375000.0,1740,352,61.0,59,81,365,65
20176,Hélder Postiga,32,74,74,74,0,High,High,2700000.0,1871,385,61.0,78,72,375,75
20209,Ricardo Costa,39,73,73,73,0,Medium,High,550000.0,1598,326,75.0,42,77,308,72
20289,Y. Touré,35,80,78,80,0,Medium,Low,6000000.0,2073,433,81.0,54,90,371,78
20556,Alan,36,74,75,74,0,Medium,Low,275000.0,1907,384,82.0,50,65,337,74
20775,Quaresma,36,79,79,79,0,High,Low,4200000.0,1928,396,82.0,57,59,335,73
20800,Danny,34,76,75,76,0,Medium,Low,3900000.0,1892,389,82.0,61,54,326,71
20801,Cristiano Ronaldo,35,92,92,92,0,High,Low,46000000.0,2221,464,95.0,84,78,444,95
20882,A. Frei,32,77,76,77,0,High,Medium,2800000.0,1977,404,61.0,71,73,370,79
21146,M. Carrick,35,79,78,79,0,Low,Medium,3000000.0,1970,398,88.0,59,64,335,82
21570,Rogério Ceni,40,75,75,75,0,Medium,Medium,0.0,1602,421,61.0,32,72,251,75
22391,R. Cretaro,38,56,56,56,0,Medium,Medium,30000.0,1531,288,56.0,32,34,260,57
23015,L. Toni,38,76,75,76,0,Medium,Low,650000.0,1541,315,61.0,34,91,322,76
23174,J. Riquelme,35,79,78,79,0,High,Low,2500000.0,1885,376,61.0,49,67,330,74
23312,J. De Guzmán,34,64,64,64,0,Medium,Medium,0.0,1787,368,61.0,58,58,300,66
23461,W. Samuel,37,74,74,74,0,Low,Medium,0.0,1560,319,61.0,28,85,281,67
23466,R. Taylor,33,67,69,67,0,Medium,Medium,300000.0,1895,379,68.0,55,62,336,69
24248,D. Pizarro,38,73,72,73,0,Low,Medium,1000000.0,1775,350,84.0,32,50,250,70
24438,M. Yepes,39,74,74,74,0,Low,High,0.0,1508,303,61.0,34,84,284,68
24851,O. Mellberg,35,74,74,74,0,Medium,High,300000.0,1634,341,61.0,54,84,301,83
25420,C. Pizarro,40,74,74,74,0,Medium,Low,0.0,1802,358,87.0,34,77,320,78
25798,R. Santa Cruz,38,73,73,73,0,Medium,Medium,1400000.0,1595,329,76.0,30,80,279,77
25924,Capdevila,36,69,70,69,0,High,Medium,0.0,1925,389,61.0,44,65,316,72
26709,R. Márquez,38,73,72,73,0,Medium,Medium,275000.0,1754,349,81.0,45,74,340,60
26992,S. Distin,37,77,77,77,0,Medium,High,0.0,1679,366,61.0,67,86,288,71
28130,Ronaldinho,34,78,77,78,0,Low,Low,4100000.0,1875,377,61.0,41,72,314,70
28765,Zé Roberto,40,74,74,74,0,High,Medium,0.0,2028,420,61.0,58,58,313,71
29118,S. Ono,38,54,55,54,0,Medium,Low,15000.0,1414,288,67.0,32,59,232,36
30110,D. Berbatov,34,80,79,80,0,Low,Low,7500000.0,1856,379,61.0,52,71,345,70
30540,H. Sarpei,35,68,70,68,0,Low,Medium,80000.0,1587,334,61.0,65,69,275,67
31432,D. Drogba,38,81,79,81,0,Medium,Low,0.0,1956,401,80.0,62,86,388,80
31831,K. Källström,34,77,76,77,0,Medium,Medium,4300000.0,2005,396,75.0,62,78,375,76
34079,A. Cole,37,70,69,70,0,High,Medium,80000.0,1881,389,75.0,62,66,315,70
34373,A. Thompson,36,63,66,63,0,Medium,Medium,25000.0,1614,333,61.0,42,42,253,73
34824,A. Floro Flores,34,72,67,72,0,High,Low,400000.0,1834,381,76.0,70,62,348,68
35713,J. Yobo,32,74,73,74,0,Medium,Medium,1100000.0,1689,374,61.0,67,83,315,68
36111,K. Beckerman,38,68,68,68,0,Medium,High,190000.0,1762,352,70.0,58,69,318,65
39386,D. Beasley,37,68,67,68,0,High,Medium,100000.0,1863,391,73.0,70,59,323,70
39943,J. Park,32,78,77,78,0,High,High,4100000.0,1923,408,61.0,86,59,322,82
40702,Edmilson,34,68,68,68,0,Medium,Medium,100000.0,1745,360,61.0,30,73,297,62
40898,S. Govou,32,69,69,69,0,Medium,Medium,400000.0,1813,375,61.0,56,60,328,63
40900,S. Diawara,35,73,72,73,0,Medium,Medium,400000.0,1606,352,61.0,61,81,311,66
41233,S. Ameobi,35,64,63,64,0,High,Low,210000.0,1591,323,71.0,60,88,346,73
41236,Z. Ibrahimović,38,83,83,83,0,Medium,Low,9500000.0,1996,407,90.0,54,87,386,82
41635,P. Mexès,33,77,77,77,0,Medium,Medium,3100000.0,1813,394,61.0,50,82,347,62
41734,B. Cheyrou,36,68,67,68,0,Medium,Medium,275000.0,1870,371,79.0,45,67,316,69
41784,M. Niang,34,67,67,67,0,High,Low,375000.0,1760,371,61.0,68,74,331,60
45074,J. McFadden,33,66,66,66,0,Medium,Low,425000.0,1745,355,74.0,58,64,319,68
45119,Mikel Arteta,33,78,77,78,0,Medium,Medium,5000000.0,2056,408,61.0,65,63,342,72
45186,Joaquín,38,80,81,80,0,High,Medium,5000000.0,1959,412,81.0,51,64,304,83
45197,Xabi Alonso,34,82,82,82,0,Low,Low,6000000.0,2049,404,83.0,62,69,348,81
45472,A. Hleb,35,74,73,74,0,High,Low,1300000.0,1756,368,71.0,52,59,297,67
45534,M. Antonsson,36,66,65,66,0,Low,Medium,90000.0,1386,287,62.0,32,80,267,60
45574,R. van der Vaart,35,67,67,67,0,Low,Low,325000.0,1720,331,66.0,27,47,243,62
45595,D. Bonera,37,75,74,75,0,Medium,Medium,450000.0,1491,314,69.0,34,81,302,68
45605,M. Brighi,37,69,68,69,0,Medium,High,275000.0,1872,380,69.0,55,67,328,67
45609,D. Bierofka,34,64,65,64,0,Medium,Medium,50000.0,1861,386,61.0,67,66,338,67
45661,Raúl,34,81,81,81,0,High,Medium,4300000.0,1924,395,61.0,72,66,348,85
45674,M. Essien,33,74,72,74,0,Medium,Medium,1500000.0,1926,405,84.0,68,80,385,58
45707,M. Zidan,29,75,77,75,0,Medium,Medium,2400000.0,1873,395,61.0,71,64,345,74
45842,J. Olsson,35,68,67,68,0,Medium,Medium,210000.0,1484,306,55.0,34,88,255,64
46175,M. Rosenberg,36,72,71,72,0,Medium,High,1100000.0,1891,389,77.0,68,81,377,73
46590,C. Samba,33,71,70,71,0,Medium,Medium,950000.0,1449,313,69.0,32,94,254,65
46736,E. Moretti,37,75,74,75,0,Low,High,450000.0,1568,317,73.0,34,68,270,64
46815,B. Hangeland,34,72,72,72,0,Medium,Medium,650000.0,1464,312,61.0,69,86,286,72
46857,M. Pedersen,37,68,68,68,0,Medium,Medium,275000.0,1788,354,74.0,49,64,318,73
47176,D. Mobaeck,35,60,60,60,0,Medium,High,30000.0,1482,297,61.0,53,74,300,64
47201,S. Proto,37,75,75,75,0,Medium,Medium,675000.0,1288,416,58.0,27,61,233,70
47390,Gilberto Silva,36,73,73,73,0,Low,Medium,0.0,1695,348,61.0,54,76,283,51
48717,Júlio César,37,80,78,80,0,Medium,Medium,1000000.0,1263,421,68.0,35,72,213,75
48745,F. Coloccini,38,71,71,71,0,Low,High,475000.0,1742,350,72.0,34,78,318,68
48940,P. Čech,36,81,79,81,0,Medium,Medium,2400000.0,1161,426,63.0,32,63,177,75
49000,A. McGregor,38,74,74,74,0,Medium,Medium,575000.0,1283,400,68.0,30,71,238,70
49012,K. Kurányi,33,74,74,74,0,High,High,2300000.0,1775,380,61.0,67,82,369,75
49036,S. Maloney,33,73,72,73,0,High,Medium,0.0,1859,380,72.0,68,55,327,70
49045,K. Boyd,34,70,69,70,0,Medium,Low,925000.0,1648,332,76.0,46,86,339,70
49072,D. Forlán,35,78,80,78,0,High,Medium,0.0,1939,400,61.0,60,74,375,73
49161,O. Deschacht,39,70,70,70,0,Medium,High,240000.0,1588,336,80.0,66,71,286,60
49204,Hugo Viana,29,78,79,78,0,Medium,Medium,4700000.0,2083,427,61.0,68,69,366,75
49369,Fernando Torres,34,77,76,77,0,Medium,Medium,4700000.0,1852,393,69.0,54,78,360,73
49370,T. Motta,34,80,78,80,0,Medium,Medium,4500000.0,1944,390,78.0,61,83,372,74
49472,L. Butelle,37,73,73,73,0,Medium,Medium,400000.0,1095,386,59.0,28,70,220,66
49674,Igor de Camargo,37,70,70,70,0,Medium,Medium,625000.0,1778,367,82.0,70,83,350,63
49756,J. Poulsen,35,65,65,65,0,Low,Low,230000.0,1753,350,60.0,58,64,312,67
49966,P. Senderos,33,67,66,67,0,Low,Medium,300000.0,1416,296,63.0,63,85,293,64
50327,S. Pienaar,34,75,75,75,0,High,Medium,2000000.0,1960,402,82.0,63,57,326,74
50542,J. Defoe,37,73,73,73,0,Medium,Low,1400000.0,1764,358,79.0,52,54,328,73
50598,D. Bent,33,70,69,70,0,Low,Low,1100000.0,1645,337,79.0,45,69,331,64
50632,P. Clarke,38,63,63,63,0,Medium,High,70000.0,1420,290,63.0,60,81,312,62
50752,L. King,30,82,81,82,0,Medium,Medium,7000000.0,1643,365,61.0,34,86,270,78
50763,S. Harper,40,69,69,69,0,Medium,Medium,170000.0,1158,381,61.0,31,62,209,72
50955,J. Cavalli,37,67,67,67,0,Medium,Medium,250000.0,1785,362,71.0,33,62,268,60
51003,S. Cherundolo,34,73,73,73,0,Medium,Medium,400000.0,1918,396,61.0,71,64,333,74
51257,P. Crouch,37,72,71,72,0,Medium,Medium,900000.0,1622,326,80.0,31,68,267,77
51261,B. Myhill,35,70,69,70,0,Medium,Medium,425000.0,1181,392,46.0,29,63,199,66
51412,T. Cahill,37,70,73,70,0,High,Low,475000.0,1904,383,72.0,54,79,373,76
51694,H. Opdal,38,65,65,65,0,Medium,Medium,50000.0,1153,361,52.0,27,66,217,68
51887,A. Le Tallec,34,65,64,65,0,Medium,Low,275000.0,1689,337,57.0,64,60,322,66
52058,M. Diarra,32,75,77,75,0,Low,Medium,850000.0,1842,385,61.0,57,78,307,74
52091,P. Evra,36,75,75,75,0,Medium,High,775000.0,1944,406,79.0,62,66,335,75
52126,F. Balmont,39,68,70,68,0,Medium,Medium,220000.0,1783,357,71.0,33,57,262,71
52270,H. Westermann,33,71,70,71,0,Medium,Medium,950000.0,1615,335,72.0,51,88,332,62
52306,C. Brunt,35,67,67,67,0,Medium,Medium,325000.0,1925,384,68.0,38,70,335,71
52326,E. Jakupović,35,66,66,66,0,Medium,Medium,170000.0,1116,357,62.0,31,60,216,59
52340,M. Marić,36,66,66,66,0,Low,Medium,130000.0,1604,324,62.0,70,79,308,63
52737,D. Murphy,29,69,70,69,0,High,Medium,450000.0,1917,415,61.0,69,73,357,66
52797,C. Ledesma,34,71,74,71,0,Medium,Medium,725000.0,1970,397,75.0,55,68,342,75
52935,C. Natali,35,74,74,74,0,Low,High,550000.0,1440,304,61.0,32,90,281,68
53009,B. Lauth,31,69,69,69,0,Medium,Low,575000.0,1853,379,61.0,64,63,342,68
53012,T. Wiese,33,68,68,68,0,Medium,Medium,625000.0,1026,348,61.0,20,87,168,73
53014,Fernando Navarro,35,74,75,74,0,Medium,Medium,1200000.0,1876,391,81.0,68,74,341,78
53050,E. Adebayor,35,74,74,74,0,Medium,Medium,2600000.0,1766,367,82.0,51,80,348,70
53055,M. Ambrosini,36,74,78,74,0,Low,High,0.0,1957,399,61.0,55,75,360,70
53110,C. Gordon,36,71,71,71,0,Medium,Medium,400000.0,1182,377,48.0,25,68,215,68
53116,F. Miccoli,33,81,82,81,0,High,Low,5000000.0,2025,418,61.0,52,67,338,82
53302,D. De Rossi,35,82,82,82,0,Medium,High,7000000.0,2083,427,92.0,70,78,375,80
53405,Maxwell,34,79,79,79,0,Medium,Medium,2900000.0,2114,452,81.0,83,70,368,77
53412,A. Ferdid,33,63,62,63,0,Low,Medium,150000.0,1478,301,63.0,55,72,300,58
53466,C. Palmer,29,59,59,59,0,Medium,Medium,80000.0,1670,353,61.0,64,58,313,60
53578,N. de Jong,32,74,73,74,0,Medium,High,3200000.0,1860,395,75.0,74,75,350,70
53593,G. O'Neil,35,67,66,67,0,Low,Medium,180000.0,1851,375,67.0,46,64,310,67
53604,G. Greer,36,65,64,65,0,Low,Medium,70000.0,1375,281,57.0,36,74,215,52
53612,P. Mertesacker,32,80,78,80,0,Low,Medium,8500000.0,1537,322,87.0,52,81,258,84
53630,J. Van Damme,34,74,73,74,0,High,Medium,1700000.0,1848,393,81.0,78,90,370,74
53655,J. Bothroyd,38,65,65,65,0,High,Low,190000.0,1546,316,72.0,31,92,307,55
53669,J. McAnuff,38,60,61,60,0,Medium,Medium,70000.0,1633,333,57.0,34,57,271,70
53736,L. Camp,34,67,67,67,0,Medium,Medium,325000.0,1183,371,63.0,38,70,246,67
53739,L. Grant,37,70,70,70,0,Medium,Medium,180000.0,1273,389,60.0,27,71,241,66
53769,Deco,34,76,76,76,0,Medium,Medium,2100000.0,1872,382,61.0,30,65,281,67
53818,M. Bloomfield,36,64,64,64,0,High,High,140000.0,1754,361,64.0,75,65,327,66
53914,P. Jagielka,37,72,72,72,0,Medium,Medium,625000.0,1714,318,73.0,30,75,292,70
53993,S. Caldwell,33,68,68,68,0,Medium,High,425000.0,1561,333,61.0,71,80,284,64
54013,S. Downing,34,70,70,70,0,Medium,Medium,900000.0,1873,384,68.0,58,63,300,68
54033,T. Huddlestone,32,71,71,71,0,Low,Medium,1600000.0,1834,374,82.0,32,84,322,72
54037,T. Berni,37,64,64,64,0,Medium,Medium,45000.0,951,342,58.0,26,43,172,59
54050,W. Rooney,34,77,77,77,0,Medium,Medium,4300000.0,2075,421,88.0,63,78,376,82
54051,W. Routledge,35,69,69,69,0,Medium,High,450000.0,1735,361,69.0,53,58,304,71
100806,K. Commons,32,70,69,70,0,Medium,Low,1100000.0,1741,360,66.0,61,68,343,67
101015,N. Castillo,29,68,70,68,0,Medium,Low,675000.0,1814,371,61.0,58,62,333,63
101225,Neca,31,73,73,73,0,Medium,Medium,1500000.0,1907,389,61.0,67,59,337,74
101317,M. Ratajczak,38,63,63,63,0,Medium,Medium,35000.0,1036,333,40.0,30,71,204,66
101473,T. Kuszczak,36,69,68,69,0,Medium,Medium,140000.0,1140,372,41.0,34,60,196,70
101880,R. Green,38,70,69,70,0,Medium,Medium,120000.0,1062,372,49.0,24,54,176,65
102056,S. Padoin,35,70,71,70,0,Medium,Medium,500000.0,1956,405,73.0,56,61,332,68
102881,K. Stamatopoulos,40,57,57,57,0,Medium,Medium,10000.0,1026,309,44.0,40,72,218,64
103935,A. Aquilani,32,75,74,75,0,Medium,Medium,5000000.0,1977,401,76.0,53,67,346,67
103936,S. Pepe,32,74,74,74,0,High,Medium,2500000.0,1962,407,77.0,54,60,323,66
103938,L. Cufré,36,69,69,69,0,Medium,High,0.0,1612,345,61.0,62,80,310,52
104389,R. Jarstein,35,77,77,77,0,Medium,Medium,2400000.0,1203,424,50.0,31,70,231,70
104442,C. Burke,36,68,68,68,0,High,Medium,300000.0,1768,373,69.0,72,66,341,68
104476,C. Grindheim,36,66,66,66,0,Medium,High,200000.0,1779,353,76.0,60,75,328,78
105827,P. Brożek,36,66,66,66,0,Medium,Low,230000.0,1595,319,72.0,31,80,292,65
105846,A. Boruc,40,73,73,73,0,Medium,Medium,400000.0,1160,389,63.0,26,68,229,67
105866,C. Bovo,35,68,67,68,0,Medium,Medium,210000.0,1609,316,73.0,46,73,337,64
106019,Adriano,31,73,73,73,0,Medium,Low,1500000.0,1629,340,61.0,30,93,316,68
106231,Aduriz,38,81,81,81,0,Medium,Low,6500000.0,1952,402,85.0,50,81,383,81
106573,Victor Valdés,34,82,80,82,0,Medium,Medium,13000000.0,1231,443,70.0,34,71,224,75
107084,M. Langer,35,65,65,65,0,Medium,Medium,150000.0,1050,350,41.0,32,83,223,62
107298,Y. Pelé,37,72,72,72,0,Medium,Medium,325000.0,1137,393,59.0,32,72,230,70
107647,H. Altıntop,34,74,75,74,0,Medium,Medium,1700000.0,1999,410,82.0,58,74,348,76
107715,Lúcio,35,76,76,76,0,Medium,High,450000.0,1807,377,61.0,48,84,347,67
108061,R. Ziegler,34,69,70,69,0,Medium,Medium,400000.0,1888,397,70.0,69,73,352,62
108080,S. Lichtsteiner  B,35,72,73,72,0,High,High,875000.0,1931,403,76.0,66,70,351,74
109852,G. McAuley,39,70,69,70,0,Medium,High,0.0,1452,295,66.0,33,73,252,66
110026,Cani,34,73,72,73,0,High,Low,1500000.0,1858,387,81.0,60,61,337,63
110082,Pinto,37,72,72,72,0,Medium,Medium,0.0,1320,406,61.0,46,67,225,65
110376,Jonatan Soriano,34,71,73,71,0,Medium,Low,1200000.0,1858,373,73.0,63,69,349,73
110381,M. Rodríguez,39,74,75,74,0,Medium,Low,1500000.0,1933,401,86.0,48,70,338,72
110606,A. Mannus,38,66,66,66,0,Medium,Medium,70000.0,1137,363,65.0,30,64,211,64
110677,Moyá,36,78,78,78,0,Medium,Medium,1700000.0,1216,430,60.0,30,57,225,74
110680,Xisco Campos,37,68,68,68,0,Medium,High,180000.0,1562,322,60.0,33,70,265,67
110787,Borja Fernández,37,69,70,69,0,Low,High,70000.0,1758,360,70.0,52,83,345,66
110974,Riesgo,36,71,71,71,0,Medium,Medium,400000.0,1228,406,53.0,41,68,231,64
111093,Reyes,34,71,70,71,0,High,Medium,1200000.0,1807,369,72.0,55,60,317,67
111125,O. Onyewu,35,69,68,69,0,Medium,Medium,250000.0,1355,289,47.0,57,96,296,63
111206,S. Riether,35,69,70,69,0,Medium,Medium,230000.0,1815,376,75.0,49,62,300,72
111328,L. McCormick,36,60,60,60,0,Medium,Medium,35000.0,1092,323,61.0,26,63,224,72
111590,L. FeeneyB,33,65,66,65,0,High,Low,240000.0,1768,382,56.0,75,68,320,61
111661,C. Kameni,35,73,72,73,0,Medium,Medium,0.0,1215,409,43.0,38,79,253,67
112230,F. Béria,33,73,72,73,0,Medium,Medium,1200000.0,1944,413,72.0,75,73,357,74
112244,J. Plašil,36,71,70,71,0,Medium,Medium,750000.0,1792,353,73.0,34,54,256,76
112253,J. Toulalan,33,78,76,78,0,Medium,High,4200000.0,1829,374,76.0,76,79,352,74
112316,J. Mathieu,35,81,81,81,0,High,Medium,5500000.0,2049,430,77.0,78,87,385,75
