age,ova,bov,pot,growth,value,total_stats,base_stats,composure,stamina,strength,power,reactions
38,78,76,78,0,575000.0,2022,402,88.0,55,73,362,80
38,79,79,79,0,1300000.0,1300,430,70.0,41,70,246,74
39,64,69,64,0,1000.0,1837,376,61.0,51,65,319,81
36,71,71,71,0,190000.0,1707,342,61.0,33,72,297,76
34,77,76,77,0,2100000.0,1867,390,61.0,69,77,382,76
34,72,71,72,0,1600000.0,1694,348,73.0,54,74,336,71
35,74,74,74,0,1100000.0,1716,341,61.0,44,80,328,77
38,70,70,70,0,375000.0,1833,367,81.0,32,73,316,67
33,78,78,78,0,2700000.0,1979,407,61.0,33,75,339,82
33,76,75,76,0,1200000.0,1673,348,61.0,51,78,299,73
35,75,74,75,0,550000.0,1620,353,61.0,33,78,246,73
35,76,75,76,0,1700000.0,1655,324,61.0,30,69,305,75
33,76,78,76,0,3400000.0,1676,337,84.0,34,60,274,74
35,73,74,73,0,1800000.0,1872,387,75.0,46,57,316,68
38,77,74,77,0,2200000.0,1741,349,86.0,38,58,268,73
34,78,78,78,0,5500000.0,1876,381,85.0,52,67,326,79
34,65,67,65,0,150000.0,1658,347,61.0,55,46,304,72
35,74,73,74,0,300000.0,1784,351,61.0,51,73,294,72
36,79,78,79,0,4200000.0,1979,410,84.0,68,56,331,77
35,72,72,72,0,350000.0,1969,400,83.0,60,68,343,70
35,64,69,64,0,45000.0,1560,329,61.0,33,72,246,64
36,65,66,65,0,0.0,1756,355,61.0,60,65,311,66
39,67,71,67,0,0.0,1742,361,61.0,34,75,261,78
36,80,81,80,0,5000000.0,1970,407,86.0,51,66,337,74
33,76,78,76,0,1900000.0,1912,396,61.0,53,51,302,77
36,81,79,81,0,6500000.0,2019,415,83.0,64,70,380,76
33,73,75,73,0,875000.0,2003,415,61.0,57,62,350,76
34,77,76,77,0,2100000.0,1784,360,61.0,47,77,308,80
34,86,85,86,0,15500000.0,2104,431,61.0,60,60,312,90
36,63,63,63,0,130000.0,1615,331,61.0,67,83,350,63
35,72,72,72,0,210000.0,1566,318,61.0,33,91,295,63
33,66,66,66,0,325000.0,1780,374,61.0,59,86,345,69
37,79,77,79,0,1300000.0,1770,366,61.0,53,72,342,74
38,64,64,64,0,45000.0,1074,351,48.0,27,54,198,59
36,68,68,68,0,450000.0,1145,367,61.0,25,44,170,63
35,76,76,76,0,900000.0,1954,413,61.0,55,77,355,76
30,78,77,78,0,3000000.0,2106,437,61.0,68,73,359,82
34,72,76,72,0,1000000.0,2043,421,61.0,67,82,377,76
33,74,73,74,0,775000.0,1683,363,61.0,52,76,317,70
35,83,82,83,0,1300000.0,1853,390,61.0,54,84,325,81
36,66,65,66,0,0.0,1461,295,61.0,30,75,246,50
36,76,75,76,0,1000000.0,1646,338,82.0,50,83,307,73
36,61,61,61,0,80000.0,1666,332,66.0,40,65,275,63
36,81,79,81,0,1400000.0,2154,435,84.0,68,75,386,85
36,69,68,69,0,450000.0,1175,381,64.0,29,70,214,74
38,68,68,68,0,100000.0,1653,334,61.0,31,70,293,72
35,75,75,75,0,1500000.0,2041,427,84.0,83,75,384,77
40,71,70,71,0,240000.0,1221,399,54.0,26,74,238,66
35,78,77,78,0,650000.0,1575,332,61.0,55,94,309,75
39,73,73,73,0,400000.0,1110,386,56.0,26,63,206,61
34,72,71,72,0,950000.0,1542,314,63.0,33,84,298,63
36,58,58,58,0,45000.0,1502,332,56.0,75,83,328,59
40,74,74,74,0,0.0,1557,309,61.0,26,43,208,80
34,67,67,67,0,375000.0,1740,352,61.0,59,81,365,65
32,74,74,74,0,2700000.0,1871,385,61.0,78,72,375,75
39,73,73,73,0,550000.0,1598,326,75.0,42,77,308,72
35,80,78,80,0,6000000.0,2073,433,81.0,54,90,371,78
36,74,75,74,0,275000.0,1907,384,82.0,50,65,337,74
36,79,79,79,0,4200000.0,1928,396,82.0,57,59,335,73
34,76,75,76,0,3900000.0,1892,389,82.0,61,54,326,71
35,92,92,92,0,46000000.0,2221,464,95.0,84,78,444,95
32,77,76,77,0,2800000.0,1977,404,61.0,71,73,370,79
35,79,78,79,0,3000000.0,1970,398,88.0,59,64,335,82
40,75,75,75,0,0.0,1602,421,61.0,32,72,251,75
38,56,56,56,0,30000.0,1531,288,56.0,32,34,260,57
38,76,75,76,0,650000.0,1541,315,61.0,34,91,322,76
35,79,78,79,0,2500000.0,1885,376,61.0,49,67,330,74
34,64,64,64,0,0.0,1787,368,61.0,58,58,300,66
37,74,74,74,0,0.0,1560,319,61.0,28,85,281,67
33,67,69,67,0,300000.0,1895,379,68.0,55,62,336,69
38,73,72,73,0,1000000.0,1775,350,84.0,32,50,250,70
39,74,74,74,0,0.0,1508,303,61.0,34,84,284,68
35,74,74,74,0,300000.0,1634,341,61.0,54,84,301,83
40,74,74,74,0,0.0,1802,358,87.0,34,77,320,78
38,73,73,73,0,1400000.0,1595,329,76.0,30,80,279,77
36,69,70,69,0,0.0,1925,389,61.0,44,65,316,72
38,73,72,73,0,275000.0,1754,349,81.0,45,74,340,60
37,77,77,77,0,0.0,1679,366,61.0,67,86,288,71
34,78,77,78,0,4100000.0,1875,377,61.0,41,72,314,70
40,74,74,74,0,0.0,2028,420,61.0,58,58,313,71
38,54,55,54,0,15000.0,1414,288,67.0,32,59,232,36
34,80,79,80,0,7500000.0,1856,379,61.0,52,71,345,70
35,68,70,68,0,80000.0,1587,334,61.0,65,69,275,67
38,81,79,81,0,0.0,1956,401,80.0,62,86,388,80
34,77,76,77,0,4300000.0,2005,396,75.0,62,78,375,76
37,70,69,70,0,80000.0,1881,389,75.0,62,66,315,70
36,63,66,63,0,25000.0,1614,333,61.0,42,42,253,73
34,72,67,72,0,400000.0,1834,381,76.0,70,62,348,68
32,74,73,74,0,1100000.0,1689,374,61.0,67,83,315,68
38,68,68,68,0,190000.0,1762,352,70.0,58,69,318,65
37,68,67,68,0,100000.0,1863,391,73.0,70,59,323,70
32,78,77,78,0,4100000.0,1923,408,61.0,86,59,322,82
34,68,68,68,0,100000.0,1745,360,61.0,30,73,297,62
32,69,69,69,0,400000.0,1813,375,61.0,56,60,328,63
35,73,72,73,0,400000.0,1606,352,61.0,61,81,311,66
35,64,63,64,0,210000.0,1591,323,71.0,60,88,346,73
38,83,83,83,0,9500000.0,1996,407,90.0,54,87,386,82
33,77,77,77,0,3100000.0,1813,394,61.0,50,82,347,62
36,68,67,68,0,275000.0,1870,371,79.0,45,67,316,69
34,67,67,67,0,375000.0,1760,371,61.0,68,74,331,60
33,66,66,66,0,425000.0,1745,355,74.0,58,64,319,68
33,78,77,78,0,5000000.0,2056,408,61.0,65,63,342,72
38,80,81,80,0,5000000.0,1959,412,81.0,51,64,304,83
34,82,82,82,0,6000000.0,2049,404,83.0,62,69,348,81
35,74,73,74,0,1300000.0,1756,368,71.0,52,59,297,67
36,66,65,66,0,90000.0,1386,287,62.0,32,80,267,60
35,67,67,67,0,325000.0,1720,331,66.0,27,47,243,62
37,75,74,75,0,450000.0,1491,314,69.0,34,81,302,68
37,69,68,69,0,275000.0,1872,380,69.0,55,67,328,67
34,64,65,64,0,50000.0,1861,386,61.0,67,66,338,67
34,81,81,81,0,4300000.0,1924,395,61.0,72,66,348,85
33,74,72,74,0,1500000.0,1926,405,84.0,68,80,385,58
29,75,77,75,0,2400000.0,1873,395,61.0,71,64,345,74
35,68,67,68,0,210000.0,1484,306,55.0,34,88,255,64
36,72,71,72,0,1100000.0,1891,389,77.0,68,81,377,73
33,71,70,71,0,950000.0,1449,313,69.0,32,94,254,65
37,75,74,75,0,450000.0,1568,317,73.0,34,68,270,64
34,72,72,72,0,650000.0,1464,312,61.0,69,86,286,72
37,68,68,68,0,275000.0,1788,354,74.0,49,64,318,73
35,60,60,60,0,30000.0,1482,297,61.0,53,74,300,64
37,75,75,75,0,675000.0,1288,416,58.0,27,61,233,70
36,73,73,73,0,0.0,1695,348,61.0,54,76,283,51
37,80,78,80,0,1000000.0,1263,421,68.0,35,72,213,75
38,71,71,71,0,475000.0,1742,350,72.0,34,78,318,68
36,81,79,81,0,2400000.0,1161,426,63.0,32,63,177,75
38,74,74,74,0,575000.0,1283,400,68.0,30,71,238,70
33,74,74,74,0,2300000.0,1775,380,61.0,67,82,369,75
33,73,72,73,0,0.0,1859,380,72.0,68,55,327,70
34,70,69,70,0,925000.0,1648,332,76.0,46,86,339,70
35,78,80,78,0,0.0,1939,400,61.0,60,74,375,73
39,70,70,70,0,240000.0,1588,336,80.0,66,71,286,60
29,78,79,78,0,4700000.0,2083,427,61.0,68,69,366,75
34,77,76,77,0,4700000.0,1852,393,69.0,54,78,360,73
34,80,78,80,0,4500000.0,1944,390,78.0,61,83,372,74
37,73,73,73,0,400000.0,1095,386,59.0,28,70,220,66
37,70,70,70,0,625000.0,1778,367,82.0,70,83,350,63
35,65,65,65,0,230000.0,1753,350,60.0,58,64,312,67
33,67,66,67,0,300000.0,1416,296,63.0,63,85,293,64
34,75,75,75,0,2000000.0,1960,402,82.0,63,57,326,74
37,73,73,73,0,1400000.0,1764,358,79.0,52,54,328,73
33,70,69,70,0,1100000.0,1645,337,79.0,45,69,331,64
38,63,63,63,0,70000.0,1420,290,63.0,60,81,312,62
30,82,81,82,0,7000000.0,1643,365,61.0,34,86,270,78
40,69,69,69,0,170000.0,1158,381,61.0,31,62,209,72
37,67,67,67,0,250000.0,1785,362,71.0,33,62,268,60
34,73,73,73,0,400000.0,1918,396,61.0,71,64,333,74
37,72,71,72,0,900000.0,1622,326,80.0,31,68,267,77
35,70,69,70,0,425000.0,1181,392,46.0,29,63,199,66
37,70,73,70,0,475000.0,1904,383,72.0,54,79,373,76
38,65,65,65,0,50000.0,1153,361,52.0,27,66,217,68
34,65,64,65,0,275000.0,1689,337,57.0,64,60,322,66
32,75,77,75,0,850000.0,1842,385,61.0,57,78,307,74
36,75,75,75,0,775000.0,1944,406,79.0,62,66,335,75
39,68,70,68,0,220000.0,1783,357,71.0,33,57,262,71
33,71,70,71,0,950000.0,1615,335,72.0,51,88,332,62
35,67,67,67,0,325000.0,1925,384,68.0,38,70,335,71
35,66,66,66,0,170000.0,1116,357,62.0,31,60,216,59
36,66,66,66,0,130000.0,1604,324,62.0,70,79,308,63
29,69,70,69,0,450000.0,1917,415,61.0,69,73,357,66
34,71,74,71,0,725000.0,1970,397,75.0,55,68,342,75
35,74,74,74,0,550000.0,1440,304,61.0,32,90,281,68
31,69,69,69,0,575000.0,1853,379,61.0,64,63,342,68
33,68,68,68,0,625000.0,1026,348,61.0,20,87,168,73
35,74,75,74,0,1200000.0,1876,391,81.0,68,74,341,78
35,74,74,74,0,2600000.0,1766,367,82.0,51,80,348,70
36,74,78,74,0,0.0,1957,399,61.0,55,75,360,70
36,71,71,71,0,400000.0,1182,377,48.0,25,68,215,68
33,81,82,81,0,5000000.0,2025,418,61.0,52,67,338,82
35,82,82,82,0,7000000.0,2083,427,92.0,70,78,375,80
34,79,79,79,0,2900000.0,2114,452,81.0,83,70,368,77
33,63,62,63,0,150000.0,1478,301,63.0,55,72,300,58
29,59,59,59,0,80000.0,1670,353,61.0,64,58,313,60
32,74,73,74,0,3200000.0,1860,395,75.0,74,75,350,70
35,67,66,67,0,180000.0,1851,375,67.0,46,64,310,67
36,65,64,65,0,70000.0,1375,281,57.0,36,74,215,52
32,80,78,80,0,8500000.0,1537,322,87.0,52,81,258,84
34,74,73,74,0,1700000.0,1848,393,81.0,78,90,370,74
38,65,65,65,0,190000.0,1546,316,72.0,31,92,307,55
38,60,61,60,0,70000.0,1633,333,57.0,34,57,271,70
34,67,67,67,0,325000.0,1183,371,63.0,38,70,246,67
37,70,70,70,0,180000.0,1273,389,60.0,27,71,241,66
34,76,76,76,0,2100000.0,1872,382,61.0,30,65,281,67
36,64,64,64,0,140000.0,1754,361,64.0,75,65,327,66
37,72,72,72,0,625000.0,1714,318,73.0,30,75,292,70
33,68,68,68,0,425000.0,1561,333,61.0,71,80,284,64
34,70,70,70,0,900000.0,1873,384,68.0,58,63,300,68
32,71,71,71,0,1600000.0,1834,374,82.0,32,84,322,72
37,64,64,64,0,45000.0,951,342,58.0,26,43,172,59
34,77,77,77,0,4300000.0,2075,421,88.0,63,78,376,82
35,69,69,69,0,450000.0,1735,361,69.0,53,58,304,71
32,70,69,70,0,1100000.0,1741,360,66.0,61,68,343,67
29,68,70,68,0,675000.0,1814,371,61.0,58,62,333,63
31,73,73,73,0,1500000.0,1907,389,61.0,67,59,337,74
38,63,63,63,0,35000.0,1036,333,40.0,30,71,204,66
36,69,68,69,0,140000.0,1140,372,41.0,34,60,196,70
38,70,69,70,0,120000.0,1062,372,49.0,24,54,176,65
35,70,71,70,0,500000.0,1956,405,73.0,56,61,332,68
40,57,57,57,0,10000.0,1026,309,44.0,40,72,218,64
32,75,74,75,0,5000000.0,1977,401,76.0,53,67,346,67
32,74,74,74,0,2500000.0,1962,407,77.0,54,60,323,66
36,69,69,69,0,0.0,1612,345,61.0,62,80,310,52
35,77,77,77,0,2400000.0,1203,424,50.0,31,70,231,70
36,68,68,68,0,300000.0,1768,373,69.0,72,66,341,68
36,66,66,66,0,200000.0,1779,353,76.0,60,75,328,78
36,66,66,66,0,230000.0,1595,319,72.0,31,80,292,65
40,73,73,73,0,400000.0,1160,389,63.0,26,68,229,67
35,68,67,68,0,210000.0,1609,316,73.0,46,73,337,64
31,73,73,73,0,1500000.0,1629,340,61.0,30,93,316,68
38,81,81,81,0,6500000.0,1952,402,85.0,50,81,383,81
34,82,80,82,0,13000000.0,1231,443,70.0,34,71,224,75
35,65,65,65,0,150000.0,1050,350,41.0,32,83,223,62
37,72,72,72,0,325000.0,1137,393,59.0,32,72,230,70
34,74,75,74,0,1700000.0,1999,410,82.0,58,74,348,76
35,76,76,76,0,450000.0,1807,377,61.0,48,84,347,67
34,69,70,69,0,400000.0,1888,397,70.0,69,73,352,62
35,72,73,72,0,875000.0,1931,403,76.0,66,70,351,74
39,70,69,70,0,0.0,1452,295,66.0,33,73,252,66
34,73,72,73,0,1500000.0,1858,387,81.0,60,61,337,63
37,72,72,72,0,0.0,1320,406,61.0,46,67,225,65
34,71,73,71,0,1200000.0,1858,373,73.0,63,69,349,73
39,74,75,74,0,1500000.0,1933,401,86.0,48,70,338,72
38,66,66,66,0,70000.0,1137,363,65.0,30,64,211,64
36,78,78,78,0,1700000.0,1216,430,60.0,30,57,225,74
37,68,68,68,0,180000.0,1562,322,60.0,33,70,265,67
37,69,70,69,0,70000.0,1758,360,70.0,52,83,345,66
36,71,71,71,0,400000.0,1228,406,53.0,41,68,231,64
34,71,70,71,0,1200000.0,1807,369,72.0,55,60,317,67
35,69,68,69,0,250000.0,1355,289,47.0,57,96,296,63
35,69,70,69,0,230000.0,1815,376,75.0,49,62,300,72
36,60,60,60,0,35000.0,1092,323,61.0,26,63,224,72
33,65,66,65,0,240000.0,1768,382,56.0,75,68,320,61
35,73,72,73,0,0.0,1215,409,43.0,38,79,253,67
33,73,72,73,0,1200000.0,1944,413,72.0,75,73,357,74
36,71,70,71,0,750000.0,1792,353,73.0,34,54,256,76
33,78,76,78,0,4200000.0,1829,374,76.0,76,79,352,74
35,81,81,81,0,5500000.0,2049,430,77.0,78,87,385,75
34,75,74,75,0,2200000.0,2014,425,80.0,68,91,375,71
38,77,77,77,0,625000.0,1974,400,61.0,52,57,326,73
35,73,73,73,0,950000.0,2015,425,69.0,81,83,395,69
37,79,79,79,0,3700000.0,1951,400,83.0,65,68,359,80
40,70,70,70,0,0.0,1796,365,81.0,32,63,305,80
33,76,76,76,0,2400000.0,1945,404,61.0,63,74,371,73
36,66,66,66,0,110000.0,1093,364,64.0,24,60,213,69
37,75,74,75,0,450000.0,1120,405,56.0,33,83,197,73
35,74,74,74,0,1500000.0,1189,398,65.0,38,75,244,71
33,66,66,66,0,300000.0,1436,298,61.0,47,82,271,66
39,71,72,71,0,700000.0,1814,369,68.0,60,60,341,73
30,59,59,59,0,120000.0,1614,342,61.0,67,80,323,63
35,68,68,68,0,350000.0,1727,368,61.0,51,81,341,59
38,70,70,70,0,350000.0,1798,374,71.0,49,77,322,70
34,66,66,66,0,275000.0,1157,364,60.0,38,70,232,66
35,79,77,79,0,3000000.0,1161,426,60.0,31,71,213,71
35,66,67,66,0,300000.0,1748,363,70.0,75,68,336,66
35,65,65,65,0,150000.0,1063,352,30.0,28,56,202,65
35,75,74,75,0,700000.0,1816,390,70.0,66,84,354,62
40,62,62,62,0,30000.0,1110,339,47.0,41,54,211,67
37,77,82,77,0,850000.0,1944,403,61.0,50,55,321,70
33,69,68,69,0,450000.0,1863,385,73.0,69,64,336,71
36,69,69,69,0,210000.0,1377,278,70.0,31,76,256,67
37,81,81,81,0,3600000.0,1856,404,79.0,82,83,372,79
37,71,71,71,0,240000.0,1194,392,30.0,38,70,248,68
36,70,69,70,0,625000.0,1686,345,75.0,42,85,315,70
34,68,67,68,0,275000.0,1659,337,61.0,53,77,303,63
35,75,76,75,0,375000.0,1965,392,61.0,70,69,372,79
33,78,77,78,0,5000000.0,1114,409,49.0,22,66,189,78
35,70,70,70,0,475000.0,1153,384,59.0,31,70,233,70
32,88,85,88,0,29500000.0,2146,439,94.0,79,59,332,91
34,75,75,75,0,0.0,1999,394,87.0,60,75,348,80
37,63,63,63,0,130000.0,1475,302,68.0,51,93,319,66
35,63,64,63,0,100000.0,1808,371,65.0,69,67,332,62
36,71,71,71,0,850000.0,1748,372,74.0,58,72,351,67
35,77,76,77,0,4100000.0,1751,362,81.0,55,77,338,77
39,69,69,69,0,140000.0,1542,315,73.0,34,86,304,59
33,72,72,72,0,1300000.0,1915,400,70.0,54,86,376,65
34,78,78,78,0,5500000.0,1921,406,81.0,67,79,371,81
34,74,74,74,0,2200000.0,1919,396,70.0,74,75,376,80
32,69,70,69,0,575000.0,1904,399,63.0,74,49,343,68
30,75,75,75,0,5500000.0,1908,411,69.0,80,66,364,71
37,68,68,68,0,325000.0,1652,343,68.0,66,71,345,70
34,65,65,65,0,200000.0,1515,307,59.0,33,74,259,60
32,74,75,74,0,2000000.0,1995,410,61.0,69,78,384,76
35,75,75,75,0,1800000.0,1358,417,66.0,41,67,246,73
36,70,71,70,0,0.0,1927,398,76.0,49,74,332,62
36,72,74,72,0,275000.0,1909,386,61.0,27,67,322,67
37,76,76,76,0,1700000.0,2005,424,82.0,81,80,355,76
34,75,75,75,0,3500000.0,1922,401,77.0,68,74,364,76
32,75,75,75,0,2300000.0,2032,439,61.0,74,70,377,75
35,75,75,75,0,2100000.0,1915,407,86.0,83,77,372,70
32,71,72,71,0,1300000.0,1919,397,75.0,62,78,359,69
34,71,70,71,0,1200000.0,1922,390,71.0,65,67,338,72
31,76,70,76,0,950000.0,1817,369,61.0,60,84,378,72
36,67,67,67,0,130000.0,1248,386,55.0,25,69,232,61
31,71,72,71,0,575000.0,1991,416,61.0,86,44,348,67
33,80,78,80,0,0.0,1136,431,51.0,31,62,188,76
33,77,77,77,0,2900000.0,2136,450,61.0,70,78,379,75
35,80,80,80,0,3600000.0,1909,380,61.0,53,65,339,78
36,70,68,70,0,70000.0,1172,390,49.0,42,72,222,63
33,78,78,78,0,3800000.0,2082,441,74.0,72,82,396,66
36,70,70,70,0,0.0,1664,329,61.0,51,77,316,56
30,77,78,77,0,3600000.0,1999,420,61.0,63,58,346,80
35,84,84,84,0,9500000.0,2192,456,81.0,78,76,399,88
26,83,82,86,3,16500000.0,1888,408,61.0,68,59,336,82
30,70,70,70,0,700000.0,1579,333,61.0,63,82,303,65
36,73,75,73,0,0.0,1900,390,61.0,53,85,361,70
35,77,77,77,0,4100000.0,1909,397,80.0,52,68,324,78
33,69,69,69,0,500000.0,1637,336,65.0,67,75,308,64
34,74,74,74,0,2100000.0,1770,371,67.0,54,77,334,71
36,73,73,73,0,800000.0,1396,306,74.0,31,88,277,67
33,79,78,79,0,4500000.0,1757,368,61.0,54,90,386,68
34,74,74,74,0,1700000.0,1971,405,61.0,51,56,327,71
30,79,78,79,0,9500000.0,1987,407,61.0,65,61,350,71
34,77,77,77,0,4500000.0,1748,369,76.0,59,43,279,66
34,77,76,77,0,3700000.0,1816,374,61.0,52,74,344,79
37,68,68,68,0,90000.0,1197,385,63.0,30,60,217,65
34,67,66,67,0,475000.0,1168,366,51.0,34,73,241,70
34,61,61,61,0,110000.0,1043,336,54.0,32,61,222,56
37,83,81,83,0,1700000.0,1727,381,88.0,53,83,310,80
33,75,74,75,0,4200000.0,1820,378,78.0,64,79,370,76
35,77,77,77,0,2800000.0,1938,400,84.0,67,67,319,80
35,69,69,69,0,475000.0,1672,336,78.0,41,63,302,70
37,71,72,71,0,110000.0,1867,386,79.0,53,69,334,69
33,68,66,68,0,150000.0,1806,374,74.0,64,71,328,70
35,75,75,75,0,3100000.0,1928,410,68.0,77,76,395,75
36,72,74,72,0,1100000.0,1804,355,70.0,32,56,306,73
31,69,68,69,0,900000.0,1715,365,65.0,74,73,347,61
34,69,70,69,0,475000.0,1803,375,70.0,52,69,342,67
35,74,74,74,0,1500000.0,1293,418,63.0,36,65,245,71
34,65,65,65,0,350000.0,1213,358,61.0,36,74,218,69
32,73,73,73,0,2200000.0,1977,420,71.0,70,74,355,70
32,74,73,74,0,3200000.0,1585,319,64.0,63,85,332,70
34,76,75,76,0,4100000.0,1874,393,71.0,68,74,368,70
33,66,65,66,0,250000.0,1472,306,68.0,33,80,279,53
30,69,68,69,0,675000.0,1064,367,46.0,18,72,172,63
38,72,72,72,0,625000.0,1927,379,80.0,55,87,387,63
35,77,75,77,0,2400000.0,2028,414,87.0,60,73,350,80
33,75,74,75,0,2500000.0,2046,420,76.0,87,74,377,71
34,80,81,80,0,7000000.0,2167,441,86.0,87,70,371,84
34,71,70,71,0,1200000.0,1876,386,73.0,52,72,340,74
35,80,78,80,0,0.0,1832,383,85.0,44,70,319,76
33,76,75,76,0,4700000.0,1970,409,72.0,72,63,361,72
35,72,72,72,0,950000.0,1733,370,67.0,58,81,315,73
34,72,71,72,0,650000.0,1492,312,66.0,59,78,285,67
32,66,67,66,0,350000.0,1673,356,69.0,71,90,348,62
35,79,78,79,0,3800000.0,1929,393,78.0,54,54,318,73
33,65,65,65,0,240000.0,1744,361,61.0,66,65,316,66
33,70,69,70,0,600000.0,1631,340,63.0,58,74,312,62
34,69,71,69,0,500000.0,1876,381,70.0,55,67,331,70
38,72,72,72,0,325000.0,1253,394,53.0,43,73,256,71
36,68,68,68,0,325000.0,1647,338,75.0,39,80,314,67
36,65,65,65,0,100000.0,1648,340,71.0,80,78,322,62
39,69,69,69,0,300000.0,1750,353,72.0,33,82,334,68
37,72,72,72,0,625000.0,1619,337,83.0,64,82,314,71
35,87,87,87,0,15500000.0,1830,399,84.0,54,87,355,82
33,72,70,72,0,2000000.0,1660,352,76.0,61,92,350,67
37,68,68,68,0,100000.0,1610,328,61.0,34,84,293,65
40,71,70,71,0,275000.0,1328,390,61.0,25,67,224,79
36,68,68,68,0,100000.0,1864,396,74.0,74,68,345,63
38,75,75,75,0,675000.0,1235,412,57.0,37,69,243,71
38,73,73,73,0,875000.0,1939,387,78.0,57,72,336,71
33,80,80,80,0,9000000.0,1971,416,84.0,66,65,334,77
39,68,67,68,0,120000.0,1790,356,70.0,63,77,349,64
35,67,67,67,0,210000.0,1129,365,59.0,31,56,206,69
37,70,70,70,0,350000.0,1367,291,75.0,34,89,275,66
35,66,66,66,0,300000.0,1682,337,72.0,50,68,322,68
34,73,74,73,0,1400000.0,2024,402,72.0,54,70,353,75
37,58,58,58,0,45000.0,1480,302,60.0,53,72,275,61
31,63,66,63,0,275000.0,1724,360,65.0,74,70,313,69
35,66,66,66,0,200000.0,1511,320,72.0,60,82,292,64
33,69,70,69,0,400000.0,1837,386,61.0,74,77,330,68
35,64,64,64,0,200000.0,1744,359,70.0,50,65,291,62
37,71,71,71,0,240000.0,1226,394,64.0,34,62,239,75
33,82,82,82,0,10500000.0,1849,395,81.0,63,87,336,77
34,67,68,67,0,300000.0,1666,352,61.0,67,48,286,56
39,72,72,72,0,900000.0,1790,357,78.0,52,90,384,75
31,78,77,78,0,7000000.0,2136,452,61.0,76,64,370,69
36,75,75,75,0,1300000.0,1845,383,72.0,74,77,345,70
35,66,65,66,0,200000.0,1316,283,66.0,31,73,225,54
33,83,81,83,0,15500000.0,1964,409,83.0,62,57,319,77
36,78,80,78,0,1200000.0,2173,453,78.0,68,69,364,73
37,67,67,67,0,50000.0,1852,363,69.0,60,66,330,67
40,71,71,71,0,0.0,1624,337,70.0,47,80,277,67
38,73,73,73,0,400000.0,1096,392,60.0,41,49,214,70
32,62,62,62,0,275000.0,1572,319,61.0,31,74,287,62
40,65,65,65,0,50000.0,990,349,20.0,37,51,203,47
40,68,68,68,0,0.0,1848,364,82.0,52,73,292,62
39,61,61,61,0,70000.0,1570,307,70.0,31,63,247,69
40,67,67,67,0,0.0,1439,296,70.0,48,82,279,58
